0,1,2,3,4,5,6
87,Levi Nunes,019.728.536-86,1976-02-23,+55 (11) 9 8940 3127,4742790860114165,50895
88,Fernando Nogueira,375.190.824-23,1946-07-07,+55 85 97745-4223,30505794301780,81523
89,Eduardo Nogueira,952.038.417-05,1909-07-31,+55 (93) 91721 8869,4160875039467841019,58633
90,Dr. Pedro Oliveira,634.897.021-31,1994-05-30,+55 (72) 9 6669 9478,376925067741359,79970
91,João Miguel Araújo,952.130.487-14,1939-02-07,+55 (008) 96624 6748,503872117448,38904
92,João Vitor Azevedo,945.630.821-98,1937-11-13,+55 (048) 93616-0015,574000902928,98688
93,Milena Cardoso,920.541.738-60,1990-08-23,+55 31 9 7611 7782,213125682180839,33226
94,Thomas Nascimento,589.476.310-00,1984-12-27,+55 29 9 6545 8500,503843221774,114
95,Ana Freitas,420.158.973-05,1976-03-27,+55 (024) 95319-3561,4850536068424041568,94037
96,Yago Fogaça,324.870.195-14,1985-02-11,+55 (91) 9 6404-0092,346398308378794,89341
97,Helena Monteiro,510.328.674-26,2011-12-19,+55 (03) 9 9766-2266,30341290421249,96028
98,João Vitor Fernandes,865.473.910-00,1942-02-03,+55 (54) 9 4469-8078,213164600681404,16888
99,Luiz Felipe Nogueira,857.436.920-92,2017-09-05,+55 (09) 9 5346-1312,3527572747583058,10204
100,Emanuella Novaes,814.976.503-48,1934-06-09,+55 07 97198 0279,4145275051191449,88022
101,Miguel Silva,123.456.789-10,1999-06-22,+55 021 998153247,4775392032197705,20205
102,Jose,109.876.543-21,1991-10-25,+55 031 998742369,4366084354896353,19046
103,John,123456789,1990-01-01,123456789,123456789,100
104,John,123456789-10,1990-01-01,123456789,123456789,100
105,John,123.456.789-10,1990-01-01,123456789,123456789,100
